address,min_latitude,max_latitude,min_longitude,max_longitude,category
132 GILMAN ST,41.736343477732525,41.73664795618245,-72.68337052010384,-72.68308243709271,Occupied Structure
77 DOUGLAS ST,41.73728802798103,41.73762862840309,-72.68123268090525,-72.68085031321408,Occupied Structure
135 GILMAN ST,41.735909794796974,41.73621407778274,-72.68336397047707,-72.68307416420102,Occupied Structure
31 CLARENDON ST,41.73688166530532,41.73710519054368,-72.68470519275006,-72.68430220050855,Occupied Structure
25 ROCKINGHAM ST,41.73726675885853,41.737523659817036,-72.68382335519108,-72.68332648338199,Occupied Structure
146 STANDISH ST,41.736068934609605,41.73639697467991,-72.67784634402943,-72.67759395826276,Occupied Structure
21 BUSHNELL ST,41.74037484371354,41.74072932393219,-72.67730091201224,-72.67702420991374,Occupied Structure
21 PRESTON ST,41.739595545363116,41.740057208810505,-72.67310381563425,-72.67280215255673,Occupied Structure
125 BROWN ST,41.73639697467991,41.73672312087557,-72.67773694342011,-72.67748517762098,Occupied Structure
62 GILMAN ST,41.73718953013586,41.7375332002707,-72.68051641040879,-72.68018075365438,Occupied Structure
67 PRESTON ST,41.73936405726662,41.73971500399018,-72.67518929581452,-72.67491603174588,Occupied Structure
133 DOUGLAS ST,41.736605051510395,41.7369046145107,-72.68348874827267,-72.68320021642757,Vacant Lot
880 MAPLE AV,41.73519863650657,41.73542417155634,-72.68665260962997,-72.68626022982995,Vacant Structure
36 NEWINGTON AV,41.73115458130549,41.73249849824691,-72.70714207143654,-72.70607325519225,Vacant Lot
120 PROSPECT AV,41.75034648698741,41.75096391944926,-72.71498687771754,-72.71421855050767,Vacant Lot
190 HAMILTON ST,41.75373970240695,41.75458389414228,-72.70207825187225,-72.70162485393243,Vacant Lot
